id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
51213254,7 Bedroom Private villa,402534103,Nurten,,Sariyer,41.197,29.01407,Entire home/apt,18457,2,0,,,2,365,0,
51213755,Hotel Room Close to Old city,365949428,Ergün,,Fatih,41.00832,28.9575,Private room,383,1,6,2021-09-06,1.18,15,363,6,
51216522,شقه هادئه ورائعه بمجمع قريبه الخدمات اطلالة مسبح,412988915,Abdelwahab,,Esenyurt,41.03643,28.65965,Entire home/apt,196,2,6,2021-11-06,1.37,2,273,6,
51222287,EYM Apart Hotel 2,363486183,Kerem Yılmaz,,Sisli,41.05381,28.98957,Entire home/apt,1030,8,0,,,5,173,0,
51223675,"No1 Konukevi
Lüks villa
Göl-Orman-Sauna-Barbekü",414674313,Yasemin,,Beykoz,41.0626,29.14205,Entire home/apt,2750,1,0,,,2,362,0,
51223754,Zen Tower Apt w/ Private Balcony & Stunning Views,3299874,Peter,,Beyoglu,41.02427,28.97384,Entire home/apt,954,3,17,2021-12-15,3.31,1,16,17,
51224057,Cozy flat in kadikoy,196328078,Hilal,,Kadikoy,40.99821,29.028,Entire home/apt,420,3,9,2021-12-19,1.76,2,346,9,
51224277,"Ground Floor,Studio Apartment,near Historic Places",414678944,Yousef,,Fatih,41.005859,28.970163,Entire home/apt,230,1,13,2021-11-28,3.05,6,359,13,
51225887,Cozy flat in historical building in Beyoğlu/Taksim,196328078,Hilal,,Beyoglu,41.03843,28.97774,Entire home/apt,720,3,0,,,2,160,0,
51226373,Villa Siesta Hotel Luxury,414688974,Semih,,Arnavutkoy,41.33912,28.69022,Private room,1050,1,5,2021-11-18,1.49,1,365,5,
51227022,GREAT FORTUNE DESİGN HOTEL AND SPA,414704602,Derya,,Fatih,41.00729,28.97088,Private room,641,1,0,,,1,365,0,
51228188,"safe flat, detailed cleaning after each guest",21768676,Ozlem,,Kucukcekmece,41.04496,28.77727,Entire home/apt,579,3,4,2021-12-07,1.17,1,364,4,
51230133,Lovely 1-2 bedrooms with extra sofa bed available,401055172,Moustapha,,Esenyurt,41.02793,28.64018,Private room,583,1,0,,,1,365,0,
51230353,", her turlu imkana sahip genis Apartman kati.",413958783,Serap,,Besiktas,41.08546,29.03172,Entire home/apt,1970,1,0,,,2,333,0,
51231856,PENDİK SABİHA GÖKÇENİN KARŞISINDA EŞYALI DAİRELER,315299175,Büşra,,Pendik,40.93102,29.30574,Entire home/apt,546,1,1,2021-08-22,0.23,19,365,1,
51238726,1+1 nurol park appartment (شقه في النورال بارك ),295983547,Abdelkarim,,Bagcilar,41.03946,28.81132,Entire home/apt,361,3,3,2021-10-25,0.58,1,350,3,
51239331,Newly Renovated Lavish Historic 6BR House! #102,21636586,VNG Property,,Besiktas,41.07757,29.0429,Entire home/apt,2159,3,2,2021-11-05,0.79,85,354,2,
51239692,Room with an en-suite bathroom.,61449288,Cihan Kürşat,,Sisli,41.06219,28.98451,Private room,412,90,0,,,2,365,0,
51239892,550 m2 apartment with the best view over Bosborus,372774753,Saqib,,Beykoz,41.12073,29.14646,Entire home/apt,10303,1,0,,,2,180,0,
51240680,Ortaköy Central Apartment,225785742,İrfan,,Besiktas,41.05368,29.02234,Entire home/apt,1164,1,0,,,1,364,0,
51241229,keyifli oda,414849433,Mehmet,,Uskudar,41.01670388962036,29.0158380986178,Private room,200,7,0,,,1,365,0,
51241510,Büyükçekmecede kendi evinizde hissedin,281351496,Kürşat,,Buyukcekmece,41.00658,28.54322,Private room,150,1,0,,,1,90,0,
51241537,"Lovely and cozy place, 2 double bedrooms and 1 single bedroom. Terrace with a nice view, big bathroom, TV and WIFI",30491452,Ramez,,Sancaktepe,41.015,29.21656,Private room,350,1,1,2021-10-11,0.37,1,89,1,
51241666,This home is suitable for a large family gathering,409695454,Nila,,Sariyer,41.20753,29.02089,Entire home/apt,7500,1,0,,,2,355,0,
51242549,Private room in the center of Beşiktaş,161546795,Miray,,Besiktas,41.04422,29.00186,Private room,200,1,18,2021-12-10,3.72,1,356,18,
51242767,N1 Elegant Apartment with French Balcony / Taksim,42816106,Sabri,,Beyoglu,41.03264,28.9821,Entire home/apt,346,2,5,2021-12-18,1.00,8,119,5,
51242891,"Peaceful&Comfy ""Private Room"" near the Kadıköy",94334372,Kevser,,Kadikoy,41.00795,29.04098,Private room,427,2,0,,,2,348,0,
51243499,Gorgeous Condo fast Internet  2 bedrooms,49361775,Zuhra,,Sisli,41.0579,28.99487,Entire home/apt,400,5,1,2021-10-11,0.37,3,39,1,
51245938,luxury flat in the city center TAKSİM,381346210,Bunyamin,,Beyoglu,41.03775,28.9814,Entire home/apt,1260,1,0,,,1,355,0,
51247178,Aile apartmanıdır riva merkeze 2 dk yürüme mesafesidir yürüyerek plaja gidebilirsiniz temiz güzel dairedir otopark sıkıntısı yoktur,413164154,Derya,,Beykoz,41.22784,29.2257,Entire home/apt,670,1,2,2021-08-17,0.39,1,362,2,
51247483,merkezi konumda güzel bir çatı katı,144568947,Bilal,,Sisli,41.07424,29.00454,Private room,220,1,0,,,2,364,0,
51247624,Clean and safe room in Şişli,414915368,Umit,,Sisli,41.05148,28.97966,Private room,180,7,1,2021-11-07,0.56,1,359,1,
51247932,Esenyurt İstanbul meydan,226144637,Yousef,,Esenyurt,41.03464,28.68094,Entire home/apt,352,14,0,,,14,365,0,
51249289,Kadıköy'de temiz daire,411114141,Dudu,,Kadikoy,40.98725,29.03205,Entire home/apt,700,365,0,,,1,365,0,
51253167,House for 6-12 Pers. Galata Tower Sea view terrace,25359068,Türkhun,,Beyoglu,41.02616,28.97525,Entire home/apt,3605,2,0,,,4,70,0,
51254482,Sultanahmet Sea wiew apartment,211364451,Yılmaz,,Fatih,41.00468,28.98029,Entire home/apt,533,2,2,2021-09-28,0.63,9,345,2,
51255183,Cozy room in Beşiktaş center,405389930,Mahir Kemal,,Besiktas,41.05765,29.00937,Private room,200,2,4,2021-12-02,0.84,2,363,4,
51255585,SPACIOUS APARTMENT IN QUIET LOCATION,250663652,Salih Zeki,,Beylikduzu,40.99011,28.62712,Entire home/apt,230,25,1,2021-10-13,0.37,1,360,1,
51256038,"Daire Sabiha Gökçen havalimanına ve Pendik sahile 15 dakika uzaklıkta olup, temiz ve güvenlikli sitede yer almaktadır. Ulaşım sorunu yoktur. Talep edilirse havalimanından araç ile yolcu alınabilir. Şık ve sakin bir sitedir.",415003554,Furkan,,Tuzla,40.82919,29.31448,Private room,206,1,0,,,1,365,0,
51256500,Cozy and good located apartment close to Moda beach,4300013,Özlem,,Kadikoy,40.9874,29.02287,Entire home/apt,486,2,13,2021-12-20,2.57,1,78,13,
51256516,Beyoğlu nda meydana 2 dakika merkezi konumda daire,350800310,Asya,,Beyoglu,41.03909,28.98212,Entire home/apt,250,1,0,,,1,0,0,
51257018,Lovely Bedroom in Bayrampaşa,412670979,Israa,,Bayrampasa,41.05684,28.89995,Private room,90,1,0,,,1,187,0,
51257485,Asma kat ücretsiz otopark  metrobüsün dibi,415018405,Can,,Uskudar,41.00254,29.06097,Private room,229,1,0,,,1,365,0,
51258397,Beachfront 2 Bedroom Apt with Amazing Views,415027049,Suat,,Buyukcekmece,41.03285,28.44541,Entire home/apt,456,2,4,2021-10-08,0.91,1,170,4,
51258403,Konforlu yaşam merkezi,311561099,Çetin,,Atasehir,40.97865,29.13736,Shared room,636,1,0,,,4,365,0,
51258855,THE KİNG SUİT OF OVERLAND RESİDENCE,397198238,Mustafa,,Sisli,41.04732,28.9863,Entire home/apt,3653,1,0,,,14,358,0,
51259071,Şişli Bölgesinde Özel Oda,239917890,Neval,,Sisli,41.06294,28.99896,Private room,180,1,0,,,1,365,0,
51259574,Çatalca/Gümüşpınar Köyünde butik otel,39702979,Yavuz,,Catalca,41.311638,28.286886,Private room,177,1,0,,,1,363,0,
51260412,1+1 ev de yatak,415048404,Ahmet,,Bahcelievler,40.99803,28.84427,Shared room,86,1,0,,,1,365,0,
51261843,Kadikoy cozy room,42243987,Ilker,,Kadikoy,40.99956,29.03446,Private room,115,4,8,2021-12-05,1.63,1,354,8,
51262099,Amazing Flat in Taksim 3+1 HOME,415067173,Aslan,,Beyoglu,41.03507068529841,28.982191300366523,Entire home/apt,1628,3,6,2021-12-26,1.27,2,353,6,
51263073,New building new furniture with air conditioners✅,270122660,Buraq,,Avcilar,40.9835,28.71553,Entire home/apt,1000,7,0,,,3,157,0,
51263226,Nişantaşında 2+1 daire Amerikan hastanesine 5 dk,50985311,Golden Horn,,Sisli,41.05305,28.99358,Entire home/apt,1296,2,1,2021-10-22,0.43,24,361,1,
51263474,Deluxe lux great,316055647,Esra,,Esenyurt,41.00904,28.66934,Entire home/apt,300,28,0,,,2,365,0,
51263525,Nişantaşında 1+1 daire Amerikan hastanesine 5 dk,50985311,Golden Horn,,Sisli,41.05305,28.99344,Entire home/apt,971,2,2,2021-12-06,0.41,24,362,2,
51263577,Pool and lux clean,229373213,Esra,,Kucukcekmece,41.00374,28.79707,Entire home/apt,400,28,0,,,2,365,0,
51263633,Taksim'de Teraslı Manzaralı 1+0 Stüdyo Daire,379795099,Atakan,,Beyoglu,41.03507,28.98778,Entire home/apt,414,2,6,2021-12-13,1.18,5,331,6,
51263855,Nişantaşında 2+1 daire Metroya yürüme mesafesinde,50985311,Golden Horn,,Sisli,41.05423,28.99077,Entire home/apt,1296,2,1,2021-08-02,0.20,24,356,1,
51263859,Clean lux flat,323582318,Esra1,,Avcilar,40.98256,28.71001,Entire home/apt,300,29,0,,,2,365,0,
51264012,Nişantaşında 1+1 daire Metroya yakın,50985311,Golden Horn,,Sisli,41.05431,28.99066,Entire home/apt,805,2,1,2021-08-10,0.21,24,361,1,
51264663,"Family Apartment with Garden,3 Rooms",415091202,Erdal,,Beyoglu,41.035824,28.974258,Entire home/apt,870,2,4,2021-11-01,0.82,2,349,4,
51264751,jakuzi ve klima olanağı olan güzel bir daire,266990921,Oğuzhan,,Kartal,40.88782,29.18367,Private room,219,1,3,2021-10-10,0.60,1,363,3,
51265012,Şehrin ve eğlencenin kalbi,35456135,Burçin,,Beyoglu,41.03511,28.98052,Entire home/apt,429,1,1,2021-10-17,0.40,1,347,1,
51265090,Clean and new room and best breakfast...,88629121,Ilyas,,Beyoglu,41.034367,28.981628,Private room,199,1,14,2021-12-19,2.92,4,301,14,
51265313,"Lovely 1-bedroom apartment Cihangir, Bosporus view",46140730,Elizabeth,,Beyoglu,41.0318,28.98707,Entire home/apt,700,2,3,2021-12-23,0.62,1,4,3,
51266242,Kadıköy - Metrobüs ve Marmaray'a  2dk yürüme.,72804825,Seçkin,,Kadikoy,40.991486,29.034401,Private room,139,1,2,2021-11-10,1.02,1,365,2,
51266262,Merkezi konumda turistik yerlere yakın özel oda,381727442,Suheyl,,Fatih,41.01191,28.93099,Private room,200,1,0,,,2,335,0,
51269013,Nisantasi N16 LuxuryDesign by İnterior / 2+1 130m2,415135498,Koray,,Sisli,41.05398,28.99213,Entire home/apt,1656,7,0,,,7,361,0,
51269150,Nisantasi N4 2+1 100m2 / Modern Renove,415135498,Koray,,Sisli,41.05143,28.99043,Entire home/apt,1173,4,0,,,7,343,0,
51272102,RW BOUTIQUE HOTEL - Standard Double Room - Twin Bed,126746222,Ömer,,Fatih,41.00523,28.97506,Private room,1458,1,0,,,10,252,0,
51272130,RW BOUTIQUE HOTEL - Standard Double Room - Double Bed,126746222,Ömer,,Fatih,41.00346,28.97438,Private room,1574,1,0,,,10,360,0,
51272150,RW BOUTIQUE HOTEL - Standard Triple Room,126746222,Ömer,,Fatih,41.00328,28.97597,Private room,1691,1,0,,,10,304,0,
51272459,RW BOUTIQUE HOTEL - Standard Quadruple Room,126746222,Ömer,,Fatih,41.00312,28.97456,Private room,1866,1,0,,,10,332,0,
51272475,RW BOUTIQUE HOTEL - Deluxe Double Room,126746222,Ömer,,Fatih,41.00397,28.97625,Private room,1749,1,0,,,10,337,0,
51272481,RW BOUTIQUE HOTEL - Deluxe Triple Room,126746222,Ömer,,Fatih,41.00314,28.97435,Private room,2041,1,0,,,10,359,0,
51272559,RW BOUTIQUE HOTEL - Suite 1+1,126746222,Ömer,,Fatih,41.00337,28.97476,Private room,2390,1,0,,,10,357,0,
51272621,RW BOUTIQUE HOTEL - Suite 1+1 with Spa Bath 3 person,126746222,Ömer,,Fatih,41.00317,28.97621,Private room,2299,1,0,,,10,354,0,
51272658,RW BOUTIQUE HOTEL - Suite 2+1 with Spa Bath - 5 person,126746222,Ömer,,Fatih,41.00341,28.97631,Private room,3048,1,0,,,10,344,0,
51272919,Double Room with Kitchen at Şişli / Dolapdere,362913959,Ali,,Sisli,41.04484,28.982,Private room,526,1,3,2021-10-23,1.02,7,364,3,
51273435,nice apartment close to tourist attractions,415186361,Çağla,,Besiktas,41.04471,29.00366,Private room,143,1,4,2021-11-26,1.04,1,361,4,
51273645,New stüdyo,340314590,Emre,,Sisli,41.06451,28.98808,Entire home/apt,631,7,0,,,2,155,0,
51274278,"Ucretsiz otopark, bagdat cadde ustunde sahile 2dk",201224302,Serra,,Kadikoy,40.97976,29.04263,Entire home/apt,600,2,3,2021-12-15,0.64,1,357,3,
51275268,Unique Location with Balcony in Kadıköy/MODA,415201851,Semra,,Kadikoy,40.98652,29.0266,Entire home/apt,703,3,15,2021-12-20,3.10,1,51,15,
51275352,"TOP OF THE WORLD PENTHOUSE , 50th FLOOR. STUNNING",229311811,Elite,,Sisli,41.10321,28.98524,Entire home/apt,4470,2,7,2021-12-21,3.13,1,268,7,
51276438,Metro metrobüse 10 dk yürüyerek Cevahir Avm arkası,371743654,Ömer,,Sisli,41.05779,28.99672,Private room,124,1,2,2021-08-22,0.41,2,363,2,
51276797,the Center of All Possibilities in Bostancı,410233165,Nazlı,,Kadikoy,40.95256,29.09261,Private room,169,2,0,,,2,363,0,
51277346,An apartment with free parking area,106629166,Suleyman,,Atasehir,41.008144,29.090881,Entire home/apt,525,2,2,2021-10-01,0.60,1,363,2,
51278865,Merkezi konumda muhteşem ev,412256595,Candan,,Beyoglu,41.03523,28.98082,Entire home/apt,398,3,8,2021-12-22,1.89,1,172,8,
51279045,Kadıköy Moda'nın merkezinde sakin ve rahat bir ev,90283023,Egemen,,Kadikoy,40.98656,29.02572,Entire home/apt,536,1,21,2021-11-29,4.14,1,329,21,
51279144,AKSARAY METROYA 1DK TRAMVAYA 3DK MSAFEDE 2+1 EV,393716575,Mirkerim,,Fatih,41.01193,28.94975,Entire home/apt,1030,2,1,2021-12-27,1,6,360,1,
51282037,Cozy & spacious flat in quiet area of city center,42523885,Yalın,,Sisli,41.05454,28.99023,Entire home/apt,812,5,4,2021-12-14,1.60,1,77,4,
51282309,Göl kenarında yeşilin içinde esintisiyle rahatlatan nefes aldıran çiftlik evi,415270786,Özlem,,Arnavutkoy,41.26233,28.68362,Entire home/apt,1214,1,2,2021-11-09,0.45,1,363,2,
51282930,DENİZ MANZARALI DAİRE BAĞDAT CD. LÜKS KONFORLU,214089676,Sultan,,Kadikoy,40.98147,29.04128,Private room,700,1,2,2021-09-23,0.52,1,363,2,
51283072,Maltepe de kiralık,260582514,Ozan,,Maltepe,40.92749,29.13001,Private room,140,1,0,,,1,90,0,
51284281,Lovely and Spacious Apartment in Central Istanbul,415289980,Tuncay,,Sisli,41.05324,28.98992,Entire home/apt,265,3,4,2021-12-28,0.94,1,347,4,
51284645,Gaziosmanpaşa’da rahatça kalınabilecek bir oda,415235163,B. Faruk,,Gaziosmanpasa,41.07498,28.90309,Private room,125,1,0,,,1,365,0,
51286010,Doğa ile Başbaşa,181659175,Cuneyt,,Silivri,41.29163,28.07291,Entire home/apt,14999,1,0,,,1,358,0,
51286679,منزل بخدمات في اسطنبول قريب من المتروبوس,226144637,Yousef,,Esenyurt,41.02504,28.62517,Entire home/apt,453,5,0,,,14,365,0,
51286840,شقة مع خدمات فندقية في اسطنبول على طريق المتروبوس,226144637,Yousef,,Esenyurt,41.02374,28.62473,Entire home/apt,453,6,0,,,14,365,0,
51288277,Garden house flowers apartment,211364451,Yılmaz,,Fatih,41.00325,28.9659,Entire home/apt,484,2,6,2021-12-15,1.46,9,316,6,
51291970,MY FABULOUS FANTASTIC HOME  HISTORICAL OF ISTANBUL,90226018,Mehmet Ali,,Fatih,41.005199,28.973156,Entire home/apt,1166,2,10,2021-12-22,3.06,4,245,10,
51292145,MY FABULOUS HOME in TAKSIM  BEYOGLU,90226018,Mehmet Ali,,Beyoglu,41.033588,28.981577,Entire home/apt,466,1,18,2021-12-19,3.70,4,336,18,
51292800,Stay as a guest in a cute house.,223497628,Esra,,Besiktas,41.05092,29.0047,Private room,106,1,1,2021-08-04,0.20,3,361,1,
51293336,Şile İmrenli’de denize 50m mesafede tek odalı ev,270236493,Musap,,Sile,41.14364,29.72017,Entire home/apt,343,2,3,2021-10-31,0.62,2,365,3,
51295181,"Private room, lovely location center of besiktas",215408384,Furkan,,Besiktas,41.04458,29.00618,Private room,105,7,4,2021-09-25,0.82,1,326,4,
51295398,Merkezde bahçeliev tek odada deneyim,313594878,Neşe &Muhammet,,Uskudar,41.0213,29.06074,Private room,150,1,0,,,1,365,0,
51295405,"Fine furnished 1 bedroom, 24/7 security,  Avcilar",96460850,Tevfik,,Avcilar,40.99112,28.71165,Entire home/apt,617,5,3,2021-11-11,0.71,96,82,3,
51295588,View of akaretler. Sweet & Central House.,148918172,Miran,,Besiktas,41.04508,29.00239,Entire home/apt,629,1,2,2021-12-19,2,1,356,2,
51295863,Backyard (Close to SAW Airport),61345394,Ali,,Pendik,40.92827,29.29534,Entire home/apt,857,1,8,2021-12-14,1.85,2,362,8,
51296879,ALAÇATI KURABİYE KÜÇÜK TAŞ EV,285111727,Mehmet Ali,,Umraniye,41.05225,29.11965,Entire home/apt,3500,3,0,,,1,365,0,
51297211,Beyoğlunda Harika Lokasyon,295900834,Umut,,Beyoglu,41.03762,28.9732,Private room,477,1,4,2021-12-04,1.13,2,365,4,
51298635,2nd Floor-New flat for 8guests/1 min walk to metro,239077844,Sonel,,Sisli,41.052212,28.986511,Entire home/apt,1071,2,1,2021-08-28,0.24,2,362,1,
51300121,ONLY FEMALES!!! 1 BED AT A SHARED TRIPLE ROOM,179947223,Mustafa,,Bakirkoy,40.98096,28.87359,Shared room,100,7,0,,,21,198,0,
51300766,"Central, luxuary and comfortable flat inTaksim",413070149,Anıl,,Beyoglu,41.03161,28.98527,Entire home/apt,726,2,0,,,2,359,0,
51301001,Beautiful Room with Chill Roommate in Erenkoy,415449169,Cenkhan,,Kadikoy,40.97794,29.08179,Private room,150,6,0,,,1,365,0,
51301084,Hotel Room close to old city area,365949428,Ergün,,Fatih,41.00822,28.95592,Private room,353,1,1,2021-08-19,0.22,15,363,1,
51301377,Sabai Studio,39107766,Onjana,,Beyoglu,41.03863,28.98268,Private room,392,1,0,,,2,88,0,
51301465,"Otoparklı, Özel Odalı, Tuvalet Banyolu",415362419,Abdulsamet,,Atasehir,40.97916,29.15239,Private room,150,1,0,,,1,0,0,
51302161,Beyoğlunda istiklal caddesinde büyüleyici bir OTEL,415465221,Oğuzhan,,Beyoglu,41.02905,28.97351,Private room,600,1,0,,,1,361,0,
51302430,SABİHA GÖKÇENİN KARŞISINDA EŞYALI LÜKS DAİRELER,315299175,Büşra,,Pendik,40.93151,29.30747,Entire home/apt,467,1,2,2021-10-12,0.58,19,364,2,
51303497,"Tv,Wlan,Sound Anlage,Grosses Bett,Flur mit Esstisch,Waschmaschine,Kühlschrank,Balkon.
Zum Zentrum 5 min zu fuss,
Zum Grosse park cukurbostan,
Zum Krankenhaus capa 5 min zu fuss
weiteres Infos unter 0552-6795542",415478218,Ali,,Fatih,41.00337,28.93095,Entire home/apt,350,30,0,,,1,270,0,
